retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method,unique_transaction_key
Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Women's Apparel,103.0,218,2245,1257,Online,1128299_2021-06-17_Women's Apparel_Online_Orlando_218_103.0
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Women's Apparel,103.0,163,1679,806,Online,1128299_2021-07-16_Women's Apparel_Online_New Orleans_163_103.0
Sports Direct,1197831,2021-08-25,South,Alabama,Birmingham,Men's Street Footwear,10.0,700,7000,3150,Outlet,1197831_2021-08-25_Men's Street Footwear_Outlet_Birmingham_700_10.0
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,15.0,575,8625,3881,Outlet,1197831_2021-08-27_Women's Street Footwear_Outlet_Birmingham_575_15.0
Sports Direct,1197831,2021-08-21,South,Alabama,Birmingham,Women's Street Footwear,15.0,475,7125,3206,Outlet,1197831_2021-08-21_Women's Street Footwear_Outlet_Birmingham_475_15.0
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,475,7125,2494,In-store,1185732_2021-01-11_Women's Street Footwear_In-store_St. Louis_475_15.0
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Athletic Footwear,20.0,450,9000,3150,Online,1185732_2021-11-17_Men's Athletic Footwear_Online_Jackson_450_20.0
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Street Footwear,15.0,450,6750,2700,Online,1197831_2021-01-23_Women's Street Footwear_Online_Jackson_450_15.0
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.0,450,9000,2700,In-store,1185732_2021-04-03_Men's Street Footwear_In-store_Milwaukee_450_20.0
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,44.0,434,1910,993,Outlet,1185732_2020-03-10_Men's Street Footwear_Outlet_New York_434_44.0
Foot Locker,1185732,2021-01-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,425,8500,2975,In-store,1185732_2021-01-18_Women's Street Footwear_In-store_Detroit_425_20.0
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,425,6375,2231,In-store,1185732_2021-02-11_Women's Street Footwear_In-store_St. Louis_425_15.0
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,425,8500,2975,In-store,1185732_2021-06-11_Women's Street Footwear_In-store_Salt Lake City_425_20.0
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Street Footwear,20.0,425,8500,3400,Online,1185732_2021-04-10_Women's Street Footwear_Online_Columbus_425_20.0
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,15.0,425,6375,2550,Online,1185732_2021-03-16_Women's Street Footwear_Online_Jackson_425_15.0
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,20.0,425,8500,3400,Online,1185732_2021-09-16_Women's Street Footwear_Online_Jackson_425_20.0
Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,20.0,425,8500,3400,Online,1197831_2021-02-21_Women's Apparel_Online_Little Rock_425_20.0
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,425,8500,2975,Online,1197831_2021-10-21_Men's Athletic Footwear_Online_Little Rock_425_20.0
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,48.0,420,2016,1129,Outlet,1185732_2020-05-03_Men's Street Footwear_Outlet_New York_420_48.0
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,39.0,408,1591,875,Outlet,1185732_2020-04-19_Men's Street Footwear_Outlet_New York_408_39.0
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,46.0,403,1854,1038,Outlet,1185732_2020-04-27_Men's Street Footwear_Outlet_New York_403_46.0
West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,20.0,400,8000,2800,In-store,1185732_2021-03-10_Women's Street Footwear_In-store_Salt Lake City_400_20.0
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,400,8000,3200,In-store,1185732_2021-06-11_Women's Athletic Footwear_In-store_Salt Lake City_400_20.0
West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000,2800,In-store,1185732_2021-10-11_Men's Athletic Footwear_In-store_Salt Lake City_400_20.0
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000,2800,In-store,1185732_2021-11-11_Men's Athletic Footwear_In-store_Salt Lake City_400_20.0
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,400,8000,3200,Online,1185732_2021-09-16_Women's Athletic Footwear_Online_Jackson_400_20.0
Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,15.0,400,6000,2400,Online,1197831_2021-02-21_Women's Street Footwear_Online_Jackson_400_15.0
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,47.0,400,1880,978,Outlet,1185732_2020-03-04_Men's Street Footwear_Outlet_New York_400_47.0
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,40.0,390,1560,811,Outlet,1185732_2020-01-25_Men's Street Footwear_Outlet_New York_390_40.0
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,33.0,388,1280,666,Outlet,1185732_2020-01-07_Men's Street Footwear_Outlet_New York_388_33.0
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,34.0,384,1306,679,Outlet,1185732_2020-01-01_Men's Street Footwear_Outlet_New York_384_34.0
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,31.0,376,1166,559,Outlet,1185732_2021-02-07_Men's Street Footwear_Outlet_Atlanta_376_31.0
Sports Direct,1197831,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,20.0,375,7500,4125,Outlet,1197831_2021-08-22_Women's Athletic Footwear_Outlet_Birmingham_375_20.0
Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,375,7500,2625,In-store,1185732_2021-02-18_Women's Street Footwear_In-store_Detroit_375_20.0
West Gear,1185732,2021-08-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500,3000,In-store,1185732_2021-08-11_Women's Athletic Footwear_In-store_Salt Lake City_375_20.0
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500,3000,In-store,1185732_2021-11-11_Women's Athletic Footwear_In-store_Salt Lake City_375_20.0
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Street Footwear,15.0,375,5625,2250,Online,1185732_2021-04-17_Women's Street Footwear_Online_Jackson_375_15.0
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,15.0,375,5625,1969,Online,1197831_2021-11-20_Men's Athletic Footwear_Online_Little Rock_375_15.0
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Women's Street Footwear,15.0,375,5625,2250,Online,1197831_2021-01-23_Women's Street Footwear_Online_Little Rock_375_15.0
